Mode,Name,URL,Features,Language,Reference
1D FDEM,OCCAM1DCSEM,https://marineemlab.ucsd.edu/Projects/Occam/1DCSEM/index.html,FM/Smooth IM (MT/CSEM),"Fortran, MATLAB",Key (2009)
1D FDEM,FEMIC,https://github.com/elwaseif/FEMIC-Code,"FM/IM (2D/3D constraints, dual-coil)",MATLAB,Elwaseif et al. (2017)
1D FDEM,FDEM1D,https://github.com/SENSE-UGent/FDEM1D,FM/Sensitivities (dual coil),"MATLAB, Python",Hanssens et al. (2019)
1D FDEM,FDEMtools3,https://bugs.unica.it/cana/software/,FM/IM (dual-coil),MATLAB,Deidda et al. (2020)
1D FDEM,EMagPy,https://pypi.org/project/emagpy/,,Python,McLachlan et al. (2021)
1D FDEM,ES-RTD-FDEM,https://github.com/theanswer003/ES-RTD-FDEM,"FM/IM (pseudo 2D/3D dual-coil)",MATLAB,Liu et al. (2023)
1D TDEM,TEM1D,https://github.com/hydrogeophysicsgroup/TEM1D,FM/Sensitivities,Fortran,Christensen et al. (2026)
2D FDEM,OCCAM2DMT,https://marineemlab.ucsd.edu/Projects/Occam/2DMT/index.html,FM/IM (MT),"Fortran, MATLAB",deGroot-Hedlin and Constable (1990)
2D FDEM,GoFEM,https://github.com/GoFEM/GoFEM_2D,FM (MT and CSEM),C++,Grayver and Kolev (2015)
2D FDEM,FEMT2D,https://github.com/ruboerner/FEMT2D,FM (MT),MATLAB,Börner (2020)
2D FDEM,MT2D,,FM (MT),C++,Ren and Buntin (2023)
3D FDEM,ModEM,https://github.com/magnetotellurics/ModEM,"FM/IM (2D, 3D MT)",Fortran,Kelbert et al. (2014)
3D FDEM,FEMTIC,https://github.com/yoshiya-usui/femtic,IM (MT),C++,Usui (2015)
3D FDEM,PETGEM,https://petgem.bsc.es/,FM (CSEM),"Python, C",Castillo-Reyes et al. (2018)
3D FDEM,GEMM3D,https://github.com/Barriga-Nunes/GEMM3D/tree/master,FM/Sensitivities (MT/CSEM),Fortran,Nunes and Régis (2020)
3D FDEM,EM3DANI,https://github.com/CUG-EMI/EM3DANI,FM (MT/CSEM),Julia,Peng et al. (2021)
3D FDEM,elle3D,https://github.com/emsig/elfe3D,FM (CSEM),C,Rulff et al. (2021)
3D FDEM,GEMMIE,https://gitlab.com/m.kruglyakov/gemmie,FM/IM (MT),Fortran,Kruglyakov and Kuvshinov (2022)
3D FDEM,libEMMI,https://github.com/yangpl/libEMM,FM (CSEM),C,Yang (2023)
3D FDEM,EMFEM,https://github.com/emfem/emfem,FM (FDEM),C++,Qin et al. (2023)
3D FDEM,libEMMI_MGFD,https://github.com/yangpl/libEMMI_MGFD,FM/IM (CSEM),C,Yang and Ping (2024)
3D FDEM,MTGeophysics.jl,https://github.com/JuliaGeophysics/MTGeophysics.jl,"FM (1D, 2D MT), IM (2D, 3D MT)",Julia,Mishra et al. (2026)
Multi-method,jif3d,https://sourceforge.net/projects/jif3d/,Joint inversion,C++,Moorkamp et al. (2010)
Multi-method,SimPEG,https://simpeg.xyz/,,,"Cockett et al. (2015); Heagy et al. (2017)"
Multi-method,PyGimli,https://www.pygimli.org/,"FM/IM (1D, 2D, 3D)",Python,Rücker et al. (2017)
Multi-method,EEMverter,https://www.the-eem-team.it/get-eemstudio-lite/,,,Fiandaca et al. (2023)
FDEM/TDEM,P223 suite,https://github.com/prisae/P223_Public,"FM/IM (1D, 2D, 3D)",Fortran,Raiche et al. (2007)
FDEM/TDEM,MARE2DEM,https://mare2dem.bitbucket.io/master/download.html,FM/IM (2D MT/CSEM),"Fortran, MATLAB","Key (2016); Haroon et al. (2018a)"
FDEM/TDEM,GA-AEM,https://github.com/GeoscienceAustralia/ga-aem,"FM/IM (1D TDEM, AEM)",C++,Brodie (2017)
FDEM/TDEM,empymod,https://github.com/emsig/empymod,"FM (3D layered, CSEM)",Python,Werthmüller (2017)
FDEM/TDEM,emg3d,https://github.com/emsig/emg3d,FM (CSEM),Python,Werthmüller et al. (2019)
FDEM/TDEM,custEM,https://custem.readthedocs.io/en/latest/,FM (3D MT/CSEM),Python,Rochlitz et al. (2019)
FDEM/TDEM,GeoBIPy,https://github.com/DOI-USGS/geobipy,"IM (1D, 2D, AEM)",Python,Minsley et al. (2020)
FDEM/TDEM,HiQGA,https://github.com/GeoscienceAustralia/HiQGA.jl,"FM/IM (1D TDEM, FDEM, AEM, CSEM, MT)",Julia,Ray and Myer (2019)
FDEM/TDEM,WPTEM3D,https://github.com/Dr-Li-Fei/WFTEM3D,FM (3D TDEM),"Fortran, MATLAB",Li and Cheng (2023)
